,date,negative,neutral,positive,open,high,low,close,volume
1155,2017-11-12,4,1,2,6295.4501953125,6625.0498046875,5519.009765625,5950.0698242188,8957349888.0
1156,2017-11-13,13,20,12,5938.25,6811.1899414063,5844.2900390625,6559.490234375,6263249920.0
1157,2017-11-14,0,5,3,6561.4799804688,6764.9799804688,6461.75,6635.75,3197110016.0
1158,2017-11-15,6,17,5,6634.759765625,7342.25,6634.759765625,7315.5400390625,4200880128.0
1159,2017-11-16,5,14,4,7323.240234375,7967.3798828125,7176.580078125,7871.6899414063,5123809792.0
1160,2017-11-17,3,12,4,7853.5698242188,8004.58984375,7561.08984375,7708.990234375,4651670016.0
1161,2017-11-18,1,2,0,7697.2099609375,7884.990234375,7463.4399414063,7790.1499023438,3667190016.0
1162,2017-11-19,0,3,0,7766.0297851563,8101.91015625,7694.1000976563,8036.490234375,3149319936.0
1163,2017-11-20,6,10,13,8039.0698242188,8336.8603515625,7949.3598632813,8200.6396484375,3488450048.0
1164,2017-11-21,4,15,6,8205.740234375,8348.66015625,7762.7099609375,8071.259765625,4277609984.0
1165,2017-11-22,2,14,3,8077.9501953125,8302.259765625,8075.4702148438,8253.5498046875,3633530112.0
1166,2017-11-23,0,5,5,8232.3798828125,8267.400390625,8038.7700195313,8038.7700195313,4225179904.0
1167,2017-11-24,0,7,5,8074.0200195313,8374.16015625,7940.9301757813,8253.6904296875,5058610176.0
1168,2017-11-25,0,2,1,8241.7099609375,8790.919921875,8191.1499023438,8790.919921875,4342060032.0
1169,2017-11-26,1,5,5,8789.0400390625,9522.9296875,8775.58984375,9330.5498046875,5475579904.0
1170,2017-11-27,8,11,11,9352.7197265625,9818.349609375,9352.7197265625,9818.349609375,5653320192.0
1171,2017-11-28,2,29,4,9823.4296875,10125.7001953125,9736.2998046875,10058.7998046875,6348819968.0
1172,2017-11-29,21,31,11,10077.400390625,11517.400390625,9601.0302734375,9888.6103515625,11568799744.0
1173,2017-11-30,8,30,2,9906.7900390625,10801.0,9202.0498046875,10233.599609375,8310689792.0
1174,2017-12-01,4,17,7,10198.599609375,11046.7001953125,9694.650390625,10975.599609375,6783119872.0
1175,2017-12-02,1,5,0,10978.2998046875,11320.2001953125,10905.099609375,11074.599609375,5138500096.0
1176,2017-12-03,2,6,5,11082.7001953125,11858.7001953125,10862.0,11323.2001953125,6608309760.0
1177,2017-12-04,10,25,4,11315.400390625,11657.2001953125,11081.7998046875,11657.2001953125,6132409856.0
1178,2017-12-05,7,18,4,11685.7001953125,12032.0,11604.599609375,11916.7001953125,6895260160.0
1179,2017-12-06,6,15,13,11923.400390625,14369.099609375,11923.400390625,14291.5,12656300032.0
1180,2017-12-07,16,41,12,14266.099609375,17899.69921875,14057.2998046875,17899.69921875,17950699520.0
1181,2017-12-08,16,38,9,17802.900390625,18353.400390625,14336.900390625,16569.400390625,21135998976.0
1182,2017-12-09,1,6,1,16523.30078125,16783.0,13674.900390625,15178.2001953125,13911300096.0
1183,2017-12-10,3,16,3,15168.400390625,15850.599609375,13226.599609375,15455.400390625,13433299968.0
1184,2017-12-11,7,31,28,15427.400390625,17513.900390625,15404.7998046875,16936.80078125,12153900032.0
1185,2017-12-12,12,29,21,16919.80078125,17781.80078125,16571.599609375,17415.400390625,14603799552.0
1186,2017-12-13,10,16,8,17500.0,17653.099609375,16039.7001953125,16408.19921875,12976900096.0
1187,2017-12-14,8,23,6,16384.599609375,17085.80078125,16185.900390625,16564.0,13777399808.0
1188,2017-12-15,7,19,11,16601.30078125,18154.099609375,16601.30078125,17706.900390625,14309999616.0
1189,2017-12-16,2,5,1,17760.30078125,19716.69921875,17515.30078125,19497.400390625,12740599808.0
1190,2017-12-17,2,5,7,19475.80078125,20089.0,18974.099609375,19140.80078125,13314599936.0
1191,2017-12-18,12,17,14,19106.400390625,19371.0,18355.900390625,19114.19921875,14839499776.0
1192,2017-12-19,15,22,3,19118.30078125,19177.80078125,17275.400390625,17776.69921875,16894499840.0
1193,2017-12-20,27,37,8,17760.30078125,17934.69921875,16077.7001953125,16624.599609375,22149699584.0
1194,2017-12-21,12,41,11,16642.400390625,17567.69921875,15342.7001953125,15802.900390625,16516599808.0
1195,2017-12-22,42,47,9,15898.0,15943.400390625,11833.0,13831.7998046875,22197999616.0
1196,2017-12-23,10,24,3,13948.7001953125,15603.2001953125,13828.7998046875,14699.2001953125,13086000128.0
1197,2017-12-24,4,28,7,14608.2001953125,14626.0,12747.7001953125,13925.7998046875,11572299776.0
1198,2017-12-25,3,14,0,13995.900390625,14593.0,13448.900390625,14026.599609375,10664699904.0
1199,2017-12-26,22,32,9,14036.599609375,16461.19921875,14028.900390625,16099.7998046875,13454300160.0
1200,2017-12-27,11,40,4,16163.5,16930.900390625,15114.2998046875,15838.5,12487600128.0
1201,2017-12-28,18,48,10,15864.099609375,15888.400390625,13937.2998046875,14606.5,12336499712.0
1202,2017-12-29,6,36,6,14695.7998046875,15279.0,14307.0,14656.2001953125,13025500160.0
1203,2017-12-30,8,30,4,14681.900390625,14681.900390625,12350.099609375,12952.2001953125,14452599808.0
1204,2017-12-31,3,22,6,12897.7001953125,14377.400390625,12755.599609375,14156.400390625,12136299520.0
1205,2018-01-01,4,15,1,14112.2001953125,14112.2001953125,13154.7001953125,13657.2001953125,10291200000.0
1206,2018-01-02,17,48,9,13625.0,15444.599609375,13163.599609375,14982.099609375,16846600192.0
1207,2018-01-03,5,38,13,14978.2001953125,15572.7998046875,14844.5,15201.0,16871900160.0
1208,2018-01-04,23,49,11,15270.7001953125,15739.7001953125,14522.2001953125,15599.2001953125,21783199744.0
1209,2018-01-05,15,28,18,15477.2001953125,17705.19921875,15202.7998046875,17429.5,23840899072.0
1210,2018-01-06,1,23,8,17462.099609375,17712.400390625,16764.599609375,17527.0,18314600448.0
1211,2018-01-07,5,28,5,17527.30078125,17579.599609375,16087.7001953125,16477.599609375,15866000384.0
1212,2018-01-08,38,36,18,16476.19921875,16537.900390625,14208.2001953125,15170.099609375,18413899776.0
1213,2018-01-09,18,23,21,15123.7001953125,15497.5,14424.0,14595.400390625,16659999744.0
